date,gross_ret,net_ret,turnover,n_holdings,n_kept,illiquid_share,trading_cost,gross_nav,net_nav
2023-01-03,0.005011322115443743,0.00041132211544374266,1.0,20,0,0.15,0.0046,1.0050113221154438,1.0004113221154438
2023-01-10,-0.01410452630395837,-0.01626452630395837,0.44999999999999996,20,11,0.2,0.00216,0.9908361134868905,0.9841401058521194
2023-01-17,0.016018050293558225,0.013588050293558225,0.44999999999999996,20,11,0.35,0.00243,1.0067073761853973,0.9975126511063457
2023-01-31,0.02105008937247623,0.017800089372476232,0.65,20,7,0.25,0.0032500000000000003,1.027898656426031,1.0152684654462143
2023-02-07,0.010095880635830102,0.006495880635830101,0.75,20,5,0.2,0.0036000000000000003,1.0382761985670383,1.0218635282110753
2023-02-14,-0.0016661770502397755,-0.004166177050239776,0.5,20,10,0.25,0.0025,1.0365462465931758,1.0176062638313652
2023-02-21,-0.012457323246054043,-0.016057323246054044,0.75,20,5,0.2,0.0036000000000000003,1.0236336549398806,1.0012662311158156
2023-02-28,0.013304336272444936,0.009534336272444936,0.65,20,7,0.45,0.0037700000000000003,1.0372524213049927,1.0108126400615174
2023-03-07,-0.02877954889883928,-0.03336954889883928,0.85,20,3,0.35,0.00459,1.0074007645256062,0.9770822782414198
2023-03-14,0.02139191121832818,0.017191911218328183,0.75,20,5,0.4,0.0042,1.028950992241614,0.993880190021948
2023-03-21,0.006773779127132225,0.0028737791271322244,0.65,20,7,0.5,0.0039000000000000003,1.0359208789957024,0.9967363821669034
2023-03-28,-0.0077757444953887745,-0.012575744495388775,0.8,20,4,0.5,0.0048000000000000004,1.0278658229231932,0.9842016800955142
2023-04-04,0.019530838824021825,0.015370838824021824,0.65,20,7,0.6,0.00416,1.0479409046434267,0.999329685490594
2023-04-12,-0.007584085595823621,-0.01253408559582362,0.75,20,5,0.65,0.0049499999999999995,1.0399932311232463,0.9868040016742075
2023-04-19,-0.05953968648113517,-0.06463968648113516,0.75,20,5,0.7,0.0051,0.9780723601996655,0.9230173003876571
2023-04-26,0.058711790285736795,0.0542317902857368,0.8,20,4,0.4,0.0044800000000000005,1.035496739495984,0.9730741810523874
2023-05-08,-0.008008505708920853,-0.013408505708920854,0.9,20,2,0.5,0.0054,1.0272039579461614,0.960026710340543
2023-05-15,0.019437060225144777,0.014637060225144776,0.8,20,4,0.5,0.0048000000000000004,1.047169783140268,0.9740786791175452
2023-05-22,0.008083243334919835,0.005383243334919836,0.44999999999999996,20,11,0.5,0.0026999999999999997,1.055634311310366,0.9793223816745923
2023-05-29,0.03352939618540253,0.02791939618540253,0.85,20,3,0.65,0.0056099999999999995,1.0910290923611958,1.0066644712417971
2023-06-05,-0.01546563619909257,-0.02071563619909257,0.75,20,5,0.75,0.00525,1.0741556333361113,0.9858107762810002
2023-06-12,-0.0034891247142090054,-0.008249124714209006,0.7,20,6,0.7,0.00476,1.0704077703689314,0.9776787002428471
2023-06-19,-0.02455469477417466,-0.02751469477417466,0.4,20,12,0.85,0.0029600000000000004,1.0441242342836174,0.9507781692184534
2023-06-28,0.020141300071934286,0.015591300071934286,0.65,20,7,0.75,0.00455,1.0651542537987024,0.9656020369565826
2023-07-05,-0.015438443610173203,-0.018738443610173204,0.5,20,10,0.65,0.0033,1.048709929915295,0.9475081576372033
2023-07-12,0.0014128095997216045,-0.0027871904002783952,0.75,20,5,0.4,0.0042,1.050191557371603,0.9448672719960514
2023-07-19,-0.019458577729251577,-0.024558577729251577,0.85,20,3,0.5,0.0051,1.0297563233218838,0.9216626756529104
2023-07-26,0.012500301619618983,0.007860301619618981,0.8,20,4,0.45,0.004640000000000001,1.0426285879581172,0.9289072222750874
2023-08-02,-0.01877538157115221,-0.02297538157115221,0.7,20,6,0.5,0.0042,1.023052838382212,0.9075652243991181
2023-08-09,-0.015621596096022752,-0.01996159609602275,0.7,20,6,0.55,0.00434,1.0070711201561153,0.8894487739588667
2023-08-16,-0.008516065249092592,-0.011636065249092591,0.6,20,8,0.3,0.00312,0.9984948367863892,0.8790990899893559
2023-08-23,0.04505442034256863,0.04167442034256863,0.65,20,7,0.3,0.0033799999999999998,1.0434814428728476,0.915735034988342
2023-08-30,0.01598879411616295,0.010228794116162952,0.9,20,2,0.6,0.0057599999999999995,1.0601654528269782,0.925101900126195
2023-09-06,-0.011405949042053611,-0.014815949042053612,0.55,20,9,0.55,0.0034100000000000007,1.048073259695888,0.9113956375152182
2023-09-13,-0.016295345938977183,-0.021245345938977183,0.75,20,5,0.65,0.0049499999999999995,1.030994543359752,0.8920327219089328
2023-09-20,-0.001079912668046835,-0.005239912668046834,0.8,20,4,0.3,0.00416,1.0298811592916908,0.8873585483490899
2023-09-27,0.002109657844781645,-0.0010903421552183549,0.5,20,10,0.6,0.0031999999999999997,1.0320538561585832,0.8863910239170315
2023-10-12,-0.03205178915511143,-0.03715178915511143,0.75,20,5,0.7,0.0051,0.9989746835642687,0.8534600114874826
2023-10-19,0.0005122681952905295,-0.004757731804709471,0.85,20,3,0.55,0.00527,0.999486426522559,0.8493994776467809
2023-10-26,0.009221966224472895,0.006121966224472895,0.5,20,10,0.55,0.0031000000000000003,1.0087036565897691,0.8545994725600194
2023-11-02,0.02809770324064203,0.02263770324064203,0.7,20,6,0.95,0.00546,1.0370459125903788,0.8739456418094423
2023-11-09,0.0016470505087879997,-0.0023129494912120002,0.55,20,9,0.8,0.00396,1.0387539795883474,0.8719242496818723
2023-11-16,0.009175230200845031,0.0030552302008450315,0.85,20,3,0.8,0.00612,1.0482847864731142,0.8745881789823495
2023-11-23,-0.014676057568469725,-0.019116057568469725,0.6,20,8,0.85,0.00444,1.0329000985986838,0.8578695010042199
2023-11-30,-0.016231042301879293,-0.021181042301879293,0.75,20,5,0.65,0.0049499999999999995,1.0161350534047133,0.8396989308139574
2023-12-07,0.0010972954314686304,-0.0028627045685313693,0.6,20,8,0.65,0.00396,1.0172500537565694,0.8372951208485254
2023-12-14,-0.014933721259634412,-0.01877372125963441,0.6,20,8,0.6,0.0038399999999999997,1.0020587250024207,0.8215759756376633
2023-12-21,0.0013715556401803198,-0.0014284443598196802,0.5,20,10,0.4,0.0028,1.0034331042984896,0.8204024000691003
2023-12-28,-0.031013525709014576,-0.034253525709014576,0.6,20,8,0.35,0.0032400000000000003,0.9723131059210521,0.792300725366596
2024-01-05,-0.012761095220836715,-0.016811095220836715,0.75,20,5,0.35,0.00405,0.9599053257919261,0.7789812824289202
2024-01-12,-0.05925469712329438,-0.06273469712329438,0.6,20,8,0.45,0.00348,0.9030264264450883,0.7301121276110264
2024-01-19,-0.018357076488541978,-0.02173707648854198,0.65,20,7,0.3,0.0033799999999999998,0.8864495012636611,0.7142416244479334
2024-01-26,-0.19394120690444017,-0.19628120690444018,0.44999999999999996,20,11,0.3,0.0023399999999999996,0.7145304151287476,0.5740494163799051
2024-02-02,-0.024290344836243215,-0.028210344836243215,0.7,20,6,0.4,0.00392,0.6971742249492863,0.5578552843907839
2024-02-19,0.10399539038539965,0.09841539038539965,0.9,20,2,0.55,0.005580000000000001,0.7696771306395257,0.6127568299826611
2024-02-26,0.006626402795620758,0.004066402795620758,0.4,20,12,0.6,0.0025599999999999998,0.7747773213297208,0.6152485460691384
2024-03-04,-0.0032300590494217345,-0.006830059049421734,0.5,20,10,0.8,0.0036,0.7722747448316729,0.6110463621694153
2024-03-11,0.06846349686397663,0.06483349686397663,0.55,20,9,0.65,0.0036300000000000004,0.8251473744025845,0.6506626345748704
2024-03-18,-0.07526029915954272,-0.08021029915954271,0.75,20,5,0.65,0.0049499999999999995,0.7630465361543348,0.5984727900036838
2024-03-25,-0.018229748388755858,-0.022309748388755858,0.6,20,8,0.7,0.00408,0.7491363897913296,0.5851210126411849
2024-04-01,-0.049455233687834936,-0.055005233687834935,0.75,20,5,0.85,0.00555,0.7120876745701384,0.5529362946051939
2024-04-10,-0.05746323401916322,-0.06142323401916322,0.6,20,8,0.65,0.00396,0.6711688138841528,0.5189731591839701
2024-04-17,0.0067747384549078455,0.0011947384549078448,0.9,20,2,0.55,0.005580000000000001,0.6757158070573087,0.5195931963743122
2024-04-24,0.08431184301097885,0.07921184301097886,0.85,20,3,0.5,0.0051,0.7326866521019614,0.560751131075087
2024-05-06,-0.043547904903342885,-0.048097904903342883,0.65,20,7,0.75,0.00455,0.7007796834522765,0.5337801764981955
2024-05-13,0.05276643896269255,0.04899643896269255,0.65,20,7,0.45,0.0037700000000000003,0.737757331845456,0.5599335043354846
2024-05-20,-0.027699968680091815,-0.03339996868009182,0.95,20,1,0.5,0.0057,0.7173214768598287,0.5412317428277453
2024-05-27,-0.02739670484780781,-0.03159670484780781,0.7,20,6,0.5,0.0042,0.6976692320773065,0.5241306031953524
2024-06-03,-0.023847476739370273,-0.028347476739370273,0.75,20,5,0.5,0.0045000000000000005,0.6810315812935686,0.50927282311288
2024-06-11,0.026254735933258482,0.022844735933258482,0.55,20,9,0.55,0.0034100000000000007,0.6989118856226407,0.5209070262748788
2024-06-18,-0.06647223390284739,-0.07159223390284739,0.8,20,4,0.6,0.0051199999999999996,0.6524536512840524,0.48361412860817105
2024-06-25,0.030577199541170767,0.02577719954117077,0.8,20,4,0.5,0.0048000000000000004,0.6724038567707303,0.4960803465022333
2024-07-02,-0.041018366436769996,-0.04485836643677,0.8,20,4,0.2,0.0038400000000000005,0.6448229489802111,0.4738269925367563
2024-07-09,-0.01015602067135186,-0.01477602067135186,0.7,20,6,0.65,0.00462,0.638274113781006,0.4668257151003887
2024-07-16,-0.01994660800849562,-0.023716608008495618,0.65,20,7,0.45,0.0037700000000000003,0.6255427102314464,0.4557541926070672
2024-07-23,0.019936416072213012,0.01629641607221301,0.65,20,7,0.4,0.00364,0.6380137899735603,0.46318135255644743
2024-07-30,-0.03892326394540142,-0.043123263945401426,0.75,20,5,0.4,0.0042,0.6131802108256135,0.4432074608355677
2024-08-06,0.0019100437546838995,-0.0016899562453161004,0.6,20,8,0.5,0.0036,0.6143514118577967,0.442458459619158
2024-08-13,-0.007277105554759878,-0.011027105554759878,0.75,20,5,0.25,0.00375,0.6098807117859918,0.4375794234813411
2024-08-20,-0.034357777231474235,-0.03710777723147424,0.55,20,9,0.25,0.0027500000000000003,0.5889265661526757,0.42134182371371853
2024-08-27,0.020707918584049412,0.015587918584049412,0.8,20,4,0.6,0.0051199999999999996,0.6011220095365492,0.4279096657578229
2024-09-03,-0.004840156410080406,-0.009000156410080406,0.65,20,7,0.6,0.00416,0.5982124849888504,0.42405841183661724
2024-09-10,0.01675438470311574,0.01324438470311574,0.65,20,7,0.35,0.00351,0.6082351670965604,0.42967480457957374
2024-09-19,0.05707538966833435,0.05317538966833435,0.75,20,5,0.3,0.0039,0.642950426268581,0.452522929743758
2024-09-26,0.1595046368102629,0.15599463681026288,0.65,20,7,0.35,0.00351,0.7455040004975547,0.5231140798174517
2024-10-10,0.043051996293367784,0.038451996293367784,1.0,20,0,0.15,0.0046,0.7775994359636663,0.5432288604756009
2024-10-17,0.05365257607193245,0.04625257607193245,1.0,20,0,0.85,0.0074,0.8193196488551987,0.5683545946692178
2024-10-24,0.027630431948276003,0.022820431948276,0.65,20,7,0.85,0.00481,0.8419578046567777,0.5813246920193567
2024-10-31,0.05670706225651909,0.05160706225651909,0.85,20,3,0.5,0.0051,0.8897027583028118,0.6113251515916514
2024-11-07,-0.022993786971094256,-0.027943786971094255,0.75,20,5,0.65,0.0049499999999999995,0.869245122610802,0.5942424117855024
2024-11-14,0.015455162127434575,0.009535162127434573,0.8,20,4,0.85,0.005920000000000001,0.8826794469092337,0.599908609524875
2024-11-21,-0.00665162143319126,-0.01094162143319126,0.55,20,9,0.95,0.00429,0.8768081973815348,0.5933446366249417
