date,gross_ret,net_ret,turnover,n_holdings,n_kept,n_new,illiquid_share,trading_cost,gross_nav,net_nav
2023-01-03,-0.006221984870207355,-0.012221984870207356,1.0,20,0,20,0.5,0.006,0.9937780151297927,0.9877780151297927
2023-01-10,-0.009922596717565487,-0.013402596717565487,0.6,20,8,12,0.45,0.00348,0.9839171566588771,0.9745392247465308
2023-01-17,0.037616648449446136,0.03637664844944614,0.19999999999999996,20,16,4,0.55,0.0012399999999999998,1.0209288224442927,1.0099896955253311
2023-01-31,0.026596422449255787,0.025316422449255787,0.19999999999999996,20,16,4,0.6,0.0012799999999999997,1.0480818766966424,1.0355590213266455
2023-02-07,0.02759435514139889,0.02623435514139889,0.19999999999999996,20,16,4,0.7,0.0013599999999999999,1.0770030202194734,1.062726244462008
2023-02-14,-0.00615019688456753,-0.00751019688456753,0.19999999999999996,20,16,4,0.7,0.0013599999999999999,1.0703792395998497,1.0547449611317012
2023-02-21,-0.010431001212779175,-0.012471001212779175,0.30000000000000004,20,14,6,0.7,0.0020400000000000006,1.05921411245345,1.041591235442255
2023-02-28,-0.0022624472599576543,-0.004242447259957654,0.30000000000000004,20,14,6,0.65,0.0019800000000000004,1.0568176963870213,1.037172339559457
2023-03-07,0.01558250343052602,0.01342250343052602,0.30000000000000004,20,14,6,0.8,0.0021600000000000005,1.0732855617664125,1.0510937888452405
2023-03-14,0.04449390382551725,0.04245390382551725,0.30000000000000004,20,14,6,0.7,0.0020400000000000006,1.1210402263289636,1.0957168234684749
2023-03-21,0.0010238518746974058,-0.0014561481253025947,0.4,20,12,8,0.55,0.0024800000000000004,1.1221880054663018,1.0941212974701187
2023-03-28,0.011519389727814851,0.00991938972781485,0.25,20,15,5,0.6,0.0015999999999999999,1.1351149264491474,1.1049743130292273
2023-04-04,0.03661104130191174,0.035211041301911744,0.19999999999999996,20,16,4,0.75,0.0013999999999999998,1.1766726659037936,1.143881609202851
2023-04-12,-0.007073647806771227,-0.008673647806771226,0.25,20,15,5,0.6,0.0015999999999999999,1.1683492978813357,1.1339599829919826
2023-04-19,-0.04921238065452123,-0.05061238065452123,0.25,20,15,5,0.4,0.0014,1.1108520474965566,1.076567568685798
2023-04-26,0.06341251620333509,0.06233251620333509,0.19999999999999996,20,16,4,0.35,0.0010799999999999998,1.18129397095794,1.1436727341048905
2023-05-08,0.007661091824047258,0.006581091824047258,0.19999999999999996,20,16,4,0.35,0.0010799999999999998,1.1903439725406422,1.151199349384694
2023-05-15,-0.008833556697455607,-0.010933556697455606,0.35,20,13,7,0.5,0.0021,1.17982900156973,1.1386126460281223
2023-05-22,-0.005595660551318998,-0.007905660551318998,0.35,20,13,7,0.65,0.00231,1.173227078968344,1.1296111609491848
2023-05-29,0.06740312994782352,0.06608312994782352,0.19999999999999996,20,16,4,0.65,0.0013199999999999998,1.2523062562303529,1.2042594020887016
2023-06-05,-0.013743358910220055,-0.014943358910220054,0.19999999999999996,20,16,4,0.5,0.0011999999999999997,1.2350953618854652,1.186263721622283
2023-06-12,0.024067634962343487,0.02274763496234349,0.19999999999999996,20,16,4,0.65,0.0013199999999999998,1.264821186199008,1.2132484157308179
2023-06-19,-0.039094154950608306,-0.0403741549506083,0.19999999999999996,20,16,4,0.6,0.0012799999999999997,1.2153740707609317,1.164264536200522
2023-06-28,0.009110668888927956,0.007430668888927956,0.30000000000000004,20,14,6,0.4,0.0016800000000000003,1.226446941495823,1.1729158004681492
2023-07-05,-0.027914473571161436,-0.029834473571161438,0.30000000000000004,20,14,6,0.6,0.00192,1.192211320761006,1.1379224750178847
2023-07-12,0.05953633834171544,0.056736338341715445,0.4,20,12,8,0.75,0.0028000000000000004,1.2631912173286566,1.2024840295671415
2023-07-19,-0.043297406724958035,-0.04453740672495803,0.19999999999999996,20,16,4,0.55,0.0012399999999999998,1.208498313420583,1.1489285092620434
2023-07-26,0.009195705891128165,0.007395705891128164,0.30000000000000004,20,14,6,0.5,0.0018000000000000004,1.219611308480723,1.1574256466064778
